-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: latitude  41.1745   longitude 22.7493 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 342.08 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,DOY,T2M,PRECTOTCORR,RH2M
2024,311,9.99,0.0,60.04
2024,312,10.07,0.0,51.32
2024,313,10.85,0.0,41.59
2024,314,10.6,0.0,39.08
2024,315,8.5,0.05,64.74
2024,316,6.18,0.51,77.5
2024,317,7.93,0.48,79.24
2024,318,8.38,1.68,85.27
2024,319,8.92,3.41,89.99
2024,320,6.68,9.43,79.47
2024,321,4.81,3.33,73.47
2024,322,4.51,0.02,79.09
2024,323,6.64,0.02,76.99
2024,324,7.69,0.01,77.03
2024,325,10.14,0.49,83.53
2024,326,7.96,0.98,66.95
2024,327,9.83,6.64,78.49
2024,328,3.68,0.07,56.31
2024,329,2.82,0.01,53.95
2024,330,5.23,0.0,47.24
2024,331,6.33,0.0,60.77
2024,332,9.81,0.0,71.96
2024,333,8.5,0.09,91.6
2024,334,8.11,9.71,90.06
2024,335,6.18,33.89,91.42
2024,336,6.55,41.69,86.27
2024,337,6.1,2.54,82.7
2024,338,6.45,0.06,81.53
2024,339,6.09,2.12,94.04
2024,340,6.22,3.43,93.22
2024,341,6.87,1.15,92.57
2024,342,5.36,11.68,91.88
2024,343,4.94,9.52,86.95
2024,344,9.02,1.48,92.97
2024,345,7.97,8.82,86.14
2024,346,6.84,0.05,87.41
2024,347,5.22,0.04,85.25
2024,348,2.81,0.0,79.0
2024,349,4.14,3.58,95.91
2024,350,5.84,0.29,86.55
2024,351,3.18,0.0,75.58
2024,352,6.57,0.0,81.51
2024,353,8.25,0.0,76.32
2024,354,7.55,0.0,82.57
2024,355,6.69,6.07,91.06
2024,356,4.27,5.88,80.43
2024,357,2.34,0.06,75.66
2024,358,3.13,18.87,94.17
2024,359,4.03,2.49,89.61
2024,360,3.43,2.22,79.93
2024,361,3.49,1.88,81.07
2024,362,2.62,0.4,77.4
2024,363,1.46,0.02,80.06
2024,364,1.67,0.0,83.26
2024,365,3.1,0.0,82.27
2024,366,4.89,0.0,77.22
